Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
1,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,Andhra Pradesh,03/2023,01/2024,01/2026,09/2026,265.91,0.00,186.36,83.00,57
2,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,Andhra Pradesh,06/2020,09/2020,09/2022,11/2026,611.80,0.00,600.58,91.20,57
3,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,Andhra Pradesh,12/2022,08/2023,08/2025,10/2026,347.15,0.00,190.89,97.00,57
4,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,Assam,12/2016,03/2018,03/2025,06/2026,1712.00,0.00,2670.23,99.50,57
5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,Bihar,08/2024,04/2025,03/2027,-,1413.00,0.00,19.44,4.48,57
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,0.00,453.47,72.60,57
7,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,Bihar,10/2018,10/2018,05/2026,08/2026,1216.90,0.00,1216.11,99.35,57
8,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of Keshod Airport.,Airport Authority of India [AAI],619054,Gujarat,01/2024,07/2025,01/2027,-,363.10,0.00,109.27,48.76,57
9,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,Gujarat,06/2022,07/2022,06/2026,09/2026,1305.00,0.00,987.56,89.00,57
10,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,0.00,388.13,61.35,57
11,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],612787,Karnataka,06/2023,01/2024,01/2026,09/2026,320.47,0.00,169.11,91.75,57
12,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],612788,Karnataka,06/2023,02/2024,02/2026,09/2026,322.45,0.00,242.16,98.00,57
13,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],612789,Kerala,06/2023,02/2024,09/2025,03/2027,484.57,0.00,246.96,66.14,57
14,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,07/2018,09/2018,09/2021,09/2026,480.00,0.00,524.37,93.00,57
15,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,Manipur,11/2021,07/2022,07/2024,12/2026,499.00,0.00,215.10,53.69,57
16,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],611570,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,0.00,399.77,80.00,57
17,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],618977,Rajasthan,08/2025,10/2025,10/2027,11/2027,1507.00,0.00,99.47,13.80,57
18,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],701127,Rajasthan,06/2022,05/2023,03/2026,06/2026,480.00,0.00,348.23,100.00,57
19,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],701128,Rajasthan,06/2023,11/2023,03/2026,09/2026,887.00,0.00,588.79,83.71,57
20,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],612793,Sikkim,11/2023,12/2023,06/2026,06/2027,323.26,0.00,87.61,36.14,58
21,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of 8 Nos. RETs for Runway 07-25, 3 nos. RETs for Runway 12-30, Extension of parallel Taxi Track-R with link Taxi- track and Link Taxi-Track-K1 at Chennai Airport",Airport Authority of India [AAI],432726,Tamil Nadu,07/2024,10/2025,01/2028,-,480.06,0.00,9.68,3.60,58
22,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],611602,Tamil Nadu,05/2018,06/2023,07/2025,04/2027,1207.00,0.00,368.10,49.50,58
23,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],701113,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,0.00,812.14,35.00,58
24,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],701122,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579.00,0.00,245.81,46.24,58
25,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],611495,West Bengal,08/2024,09/2024,03/2027,03/2027,1549.00,0.00,570.75,29.27,58
26,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],612791,West Bengal,03/2023,12/2023,10/2025,08/2026,328.30,0.00,153.75,73.90,58
27,Ministry of Coal,Coal,TIKAK EXTENSION OCP,INVALID CO.,615820,Assam,07/2022,07/2022,07/2031,-,159.77,0.00,112.79,89.73,58
28,Ministry of Coal,Coal,TIRAP OCP,INVALID CO.,615821,Assam,11/2022,11/2022,11/2030,-,289.46,0.00,105.66,5.00,58
29,Ministry of Coal,Coal,PORDA CHIMTAPANI OCP [10 MTY],SECL - CIL,400144,Chhattisgarh,12/2020,12/2020,03/2029,-,2310.12,0.00,119.20,11.81,58
